,name,overallTime,raceName,raceDate
2062,Charles Pantangco,0 days 05:31:33.000000000,70.3-austin,2016-10-30
302,Ralph Anthony Reyes,0 days 04:54:46.000000000,70.3-bahrain,2015-12-05
432,Andy Lordianto,0 days 05:00:40.000000000,70.3-bintan,2015-08-23
85,Andy Lordianto,0 days 04:56:16.000000000,70.3-bintan,2016-08-28
91,Andy Lordianto,0 days 05:06:46.000000000,70.3-bintan,2017-08-20
1575,Kevin Cahill,0 days 05:11:56.000000000,70.3-boulder,2012-08-05
627,Michael Sali,0 days 05:42:42.000000000,70.3-calgary,2010-08-01
436,Webster Surposa,0 days 05:22:43.000000000,70.3-dubai,2017-01-27
300,Jianwei Luo,0 days 05:16:18.000000000,70.3-hefei,2016-10-16
356,Ge Wan,0 days 04:43:18.000000000,70.3-hefei,2016-10-16
269,Ling Liao,0 days 04:39:33.000000000,70.3-liuzhou,2017-04-01
1613,Julian Villar,0 days 05:44:32.000000000,70.3-new-orleans,2011-04-17
1337,Christopher Titas,0 days 05:06:46.000000000,70.3-new-orleans,2015-04-19
92,Andy Lordianto,0 days 04:53:15.000000000,70.3-philippines,2012-08-05
182,Brian Borling,0 days 04:40:32.000000000,70.3-philippines,2015-08-02
257,Kevin Emmanuel Fule,0 days 04:55:31.000000000,70.3-philippines,2015-08-02
233,Brian Borling,0 days 04:46:47.000000000,70.3-philippines,2016-08-07
334,Rodrigo Aja,0 days 05:32:48.000000000,70.3-philippines,2016-08-07
353,Joseph Kennedy Salcedo,0 days 05:33:40.000000000,70.3-philippines,2016-08-07
514,Eljan Pelegrino,0 days 05:13:11.000000000,70.3-philippines,2016-08-07
660,Ralph Jerome Salvador,0 days 05:13:05.000000000,70.3-philippines,2016-08-07
283,Brian Borling,0 days 04:47:40.000000000,70.3-philippines,2017-08-06
374,Eljan Pelegrino,0 days 05:20:26.000000000,70.3-philippines,2017-08-06
152,Ling Liao,0 days 04:51:33.000000000,70.3-qujing,2017-08-27
720,Jonathan Acosta,0 days 04:36:40.000000000,70.3-racine,2017-07-16
1158,Julian Villar,0 days 05:23:01.000000000,70.3-santa-cruz,2017-09-10
297,Andy Lordianto,0 days 04:49:51.000000000,70.3-singapore,2011-03-20
97,Joseph Kennedy Salcedo,0 days 05:29:43.000000000,70.3-subic-bay-philippines,2017-03-12
113,Daniel Valdez,0 days 05:36:03.000000000,70.3-subic-bay-philippines,2017-03-12
124,Leo Reyes,0 days 05:40:31.000000000,70.3-subic-bay-philippines,2017-03-12
125,Ralph Jerome Salvador,0 days 05:19:23.000000000,70.3-subic-bay-philippines,2017-03-12
1336,John Dao-Tran,0 days 05:16:43.000000000,70.3-timberman,2015-08-16
2303,Kevin Cahill,0 days 05:22:42.000000000,70.3-vineman,2013-07-14
777,Leo Reyes,0 days 05:41:10.000000000,70.3-vineman,2016-07-10
404,Ge Wan,0 days 05:02:19.000000000,70.3-xiamen,2016-11-13
973,Eugene Grib,0 days 10:13:44.000000000,arizona,2011-11-20
98,Taichi Okano,0 days 11:25:54.000000000,cairns,2013-06-09
290,John Dao-Tran,0 days 10:54:48.000000000,cozumel,2013-12-01
363,John Dao-Tran,0 days 10:54:48.000000000,cozumel,2013-12-01
2430,Andy Lordianto,0 days 10:13:33.000000000,cozumel,2013-12-01
70,Taichi Okano,0 days 10:15:09.000000000,japan,2013-08-31
72,Taichi Okano,0 days 10:00:47.000000000,japan,2014-08-24
99,Andy Lordianto,0 days 11:13:36.000000000,malaysia,2014-09-27
1204,Christopher Titas,0 days 11:21:17.000000000,maryland,2015-10-17
1243,John Dao-Tran,0 days 10:29:40.000000000,maryland,2015-10-17
164,John Dao-Tran,0 days 11:19:28.000000000,mont-tremblant,2016-08-21
2795,Eugene Grib,0 days 10:59:32.000000000,wisconsin,2012-09-09
1995,Taichi Okano,0 days 11:08:00.000000000,world-championship,2014-10-11
